Id,Source,Target,Type,Label,display_label,source_layer,source_name,confidence,evidence_text,semantic_key,fusion_status,fusion_reason,role
EVENT_ARG::124b7e5a1afde5cdd07b,02312e2f5243659ab53e68d8ff421eddd405e153,Q7251,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1936-11-01T00:00:00Z,EVENT_ARG::02312e2f5243659ab53e68d8ff421eddd405e153::author::Q7251,original,,author
EVENT_ARG::1523dc4a01267ee74178,a792edef8564208d7585c87cc98fd83ab581af45,Q7251,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1934-01-01T00:00:00Z / 1937-01-01T00:00:00Z,EVENT_ARG::a792edef8564208d7585c87cc98fd83ab581af45::employee::Q7251,original,,employee
EVENT_ARG::1c9e45b29c8e23c6d2e1,c7bea787ad5448520499863371dbc6967628dbc6,Q10762848,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1946-06-24T00:00:00Z,EVENT_ARG::c7bea787ad5448520499863371dbc6967628dbc6::award::Q10762848,original,,award
EVENT_ARG::1ff241dceaada1916ee9,13a76a6840c4f803d98fab147da6c075e10306fe,Q20895966,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,,EVENT_ARG::13a76a6840c4f803d98fab147da6c075e10306fe::work::Q20895966,original,,work
EVENT_ARG::20ef81f16fee7d947203,2a05c44046c0ff3b9725dd8f1399763132f78538,Q7251,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1912-06-23T00:00:00Z,EVENT_ARG::2a05c44046c0ff3b9725dd8f1399763132f78538::person::Q7251,original,,person
EVENT_ARG::24d610fa29bf7fb802dc,2a05c44046c0ff3b9725dd8f1399763132f78538,Q122744,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1912-06-23T00:00:00Z,EVENT_ARG::2a05c44046c0ff3b9725dd8f1399763132f78538::birth_place::Q122744,original,,birth_place
EVENT_ARG::2f57e0d0eda4b1822d40,a449a2c2651db20dadc33f9a74b0bd9422ed138b,Q133854517,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,,EVENT_ARG::a449a2c2651db20dadc33f9a74b0bd9422ed138b::concept::Q133854517,original,,concept
EVENT_ARG::324ed89fcccd730f7f31,1d571ae7716ccdf8b90543c0b11670a99a4ecfd3,Q4428206,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,,EVENT_ARG::1d571ae7716ccdf8b90543c0b11670a99a4ecfd3::machine::Q4428206,original,,machine
EVENT_ARG::33788d743ba05ddd0bf0,a790cdad3d1d635be084f074dfa9659aa4553e9e,literal:Time:0f6f3c5f98bf927f034c,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,,1938-01-01T00:00:00Z / 1945-01-01T00:00:00Z,EVENT_ARG::a790cdad3d1d635be084f074dfa9659aa4553e9e::time::literal:Time:0f6f3c5f98bf927f034c,original,,time
EVENT_ARG::3485ac7a15d8274f158f,c7bea787ad5448520499863371dbc6967628dbc6,Q7251,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1946-06-24T00:00:00Z,EVENT_ARG::c7bea787ad5448520499863371dbc6967628dbc6::recipient::Q7251,original,,recipient
EVENT_ARG::425cb181e304f2d13371,1e9b58834e7b16a92a35ece0040ea5fba8b5646a,Q20895942,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1912-06-23T00:00:00Z,EVENT_ARG::1e9b58834e7b16a92a35ece0040ea5fba8b5646a::birth_place::Q20895942,original,,birth_place
EVENT_ARG::450f7234602bc4de928c,f39ef217cb68fe49a2e99bc130f5e35a3a548bc6,Q2011497,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1954-06-07T00:00:00Z,EVENT_ARG::f39ef217cb68fe49a2e99bc130f5e35a3a548bc6::death_place::Q2011497,original,,death_place
EVENT_ARG::455db397672259449dbb,ed744fa1064b360acfcfca02f6d0a2141333df69,Q2278254,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1926-01-01T00:00:00Z / 1931-01-01T00:00:00Z,EVENT_ARG::ed744fa1064b360acfcfca02f6d0a2141333df69::institution::Q2278254,original,,institution
EVENT_ARG::460bf3b0846f74fd131d,13a76a6840c4f803d98fab147da6c075e10306fe,Q7251,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,,EVENT_ARG::13a76a6840c4f803d98fab147da6c075e10306fe::author::Q7251,original,,author
EVENT_ARG::4f3db5dde2af4fdb95ab,5a00f19fd1d6759d0c4be6649fb1923c029d4db3,Q867530,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1948-03-01T00:00:00Z / 1952-01-01T00:00:00Z,EVENT_ARG::5a00f19fd1d6759d0c4be6649fb1923c029d4db3::employer::Q867530,original,,employer
EVENT_ARG::4ff73e6f8835b636e784,485e7b42f082b3f9bfe9914a4f7c26cbe263d84f,Q480476,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,,EVENT_ARG::485e7b42f082b3f9bfe9914a4f7c26cbe263d84f::machine::Q480476,original,,machine
EVENT_ARG::555afbd3513eec96810a,a3a5c29adddf0f5038d69edbdbca9d7643c5e3f1,Q7251,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1951-01-01T00:00:00Z,EVENT_ARG::a3a5c29adddf0f5038d69edbdbca9d7643c5e3f1::recipient::Q7251,original,,recipient
EVENT_ARG::610e0bf497d218b3593c,f39ef217cb68fe49a2e99bc130f5e35a3a548bc6,literal:Time:33de5fe2cd954544d48a,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,,1954-06-07T00:00:00Z,EVENT_ARG::f39ef217cb68fe49a2e99bc130f5e35a3a548bc6::time::literal:Time:33de5fe2cd954544d48a,original,,time
EVENT_ARG::61d3887fd0cf95ca8edc,2a05c44046c0ff3b9725dd8f1399763132f78538,literal:Time:0da24e3bb4d3dedaae48,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,,1912-06-23T00:00:00Z,EVENT_ARG::2a05c44046c0ff3b9725dd8f1399763132f78538::time::literal:Time:0da24e3bb4d3dedaae48,original,,time
EVENT_ARG::6730d1b6fbefb452b7bf,a790cdad3d1d635be084f074dfa9659aa4553e9e,Q7251,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1938-01-01T00:00:00Z / 1945-01-01T00:00:00Z,EVENT_ARG::a790cdad3d1d635be084f074dfa9659aa4553e9e::employee::Q7251,original,,employee
EVENT_ARG::6861f53dff8b456b3e7b,bf987415a571311b8922eeeb1f87eb1d71597af3,Q7251,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1945-01-01T00:00:00Z / 1947-01-01T00:00:00Z,EVENT_ARG::bf987415a571311b8922eeeb1f87eb1d71597af3::employee::Q7251,original,,employee
EVENT_ARG::68d51b78a3e757930a16,c0bff1944eb8e0c3d4baa2e819978f8d88fdf91e,Q66135280,Directed,EXT_EVENT_ARG [event],EXT_EVENT_ARG [event],event,wikidata_sparql,0.95,1926-01-01T00:00:00Z,EVENT_ARG::c0bff1944eb8e0c3d4baa2e819978f8d88fdf91e::institution::Q66135280,original,,institution
