:ID,:LABEL,name,entity_type,description,source_layer,source_name,confidence:float
02312e2f5243659ab53e68d8ff421eddd405e153,Event;PublicationEvent,PublicationEvent: Alan Turing -> Turing's proof,PublicationEvent,AUTHORED,event,wikidata_sparql,0.95
13a76a6840c4f803d98fab147da6c075e10306fe,Event;PublicationEvent,PublicationEvent: Alan Turing -> Intelligent Machinery,PublicationEvent,AUTHORED,event,wikidata_sparql,0.95
1d571ae7716ccdf8b90543c0b11670a99a4ecfd3,Event;DesignEvent,DesignEvent: Alan Turing -> Automatic Computing Engine,DesignEvent,DESIGNED,event,wikidata_sparql,0.95
1e9b58834e7b16a92a35ece0040ea5fba8b5646a,Event;BirthEvent,BirthEvent: Alan Turing -> Warrington Lodge,BirthEvent,BORN_IN,event,wikidata_sparql,0.95
2a05c44046c0ff3b9725dd8f1399763132f78538,Event;BirthEvent,BirthEvent: Alan Turing -> Maida Vale,BirthEvent,BORN_IN,event,wikidata_sparql,0.95
2caa17fc3f980570acc9e699c090d266c141bbdf,Event;EducationEvent,EducationEvent: Alan Turing -> Princeton University,EducationEvent,STUDIED_AT,event,wikidata_sparql,0.95
485e7b42f082b3f9bfe9914a4f7c26cbe263d84f,Event;DesignEvent,DesignEvent: Alan Turing -> Bombe,DesignEvent,DESIGNED,event,wikidata_sparql,0.95
5a00f19fd1d6759d0c4be6649fb1923c029d4db3,Event;EmploymentEvent,EmploymentEvent: Alan Turing -> Victoria University of Manchester,EmploymentEvent,WORKED_AT,event,wikidata_sparql,0.95
695ff1f6577fbb828e601935aa3d5e7fd7ea70d1,Event;DesignEvent,DesignEvent: Alan Turing -> Turing machine,DesignEvent,DESIGNED,event,wikidata_sparql,0.95
7e2ba48c88b1b2650ec707ac921921d36c8354d7,Event;EducationEvent,EducationEvent: Alan Turing -> King's College,EducationEvent,STUDIED_AT,event,wikidata_sparql,0.95
82cbb884381cab33aac03082660eb5092af22ab2,Event;HonorEvent,HonorEvent: Alan Turing -> Order of the British Empire,HonorEvent,AWARDED,event,wikidata_sparql,0.95
