entity_id,alias,alias_lang,normalized_alias
Q122744,Maida Vale,en,maida vale
Q163310,deterministic Turing machine,en,deterministic turing machine
Q163310,Turing机,zh,turing机
Q163310,图林机,zh,图林机
Q163310,圖靈機,zh,圖靈機
Q163310,确定型图灵机,zh,确定型图灵机
Q163310,通用计算,zh,通用计算
Q163310,Turing machine,en,turing machine
Q189223,imitation Game,en,imitation game
Q189223,图灵实验,zh,图灵实验
Q189223,图灵试验,zh,图灵试验
Q189223,圖靈試驗,zh,圖靈試驗
Q189223,Turing test,en,turing test
Q220798,Government Code and Cypher School,en,government code and cypher school
Q220798,GCHQ,en,gchq
Q220798,政府通訊總局（GCHQ）,zh,政府通訊總局（gchq）
Q220798,政府通訊總部（GCHQ）,zh,政府通訊總部（gchq）
Q220798,Government Communications Headquarters,en,government communications headquarters
Q480476,炸弹机,zh,炸弹机
Q480476,炸彈機,zh,炸彈機
Q480476,炸彈機 (英國),zh,炸彈機 (英國)
Q480476,Bombe,en,bombe
Q1690167,Smith's Prize,en,smith's prize
Q1967606,NPL,en,npl
Q1967606,National Physical Laboratory (United Kingdom),en,national physical laboratory (united kingdom)
Q1967606,"National Physical Laboratory, UK",en,"national physical laboratory, uk"
Q1967606,英國國家物理實驗室,zh,英國國家物理實驗室
Q1967606,National Physical Laboratory,en,national physical laboratory
Q2011497,"Wilmslow, Cheshire",en,"wilmslow, cheshire"
Q2011497,Wilmslow,en,wilmslow
Q2278254,舍伯恩公学,zh,舍伯恩公学
Q2278254,謝爾本學校,zh,謝爾本學校
Q2278254,謝爾本學院,zh,謝爾本學院
Q2278254,谢伯恩学校,zh,谢伯恩学校
Q2278254,Sherborne School,en,sherborne school
Q4428206,ACE (computer),en,ace (computer)
Q4428206,Turing's ACE,en,turing's ace
Q4428206,自动计算机,zh,自动计算机
Q4428206,Automatic Computing Engine,en,automatic computing engine
Q5583769,Good–Turing frequency estimation,en,good–turing frequency estimation
Q10762848,"Officer, Order of the British Empire",en,"officer, order of the british empire"
Q10762848,OBE,en,obe
Q10762848,O.B.E.,en,o.b.e.
Q10762848,Officer of the Most Excellent Order of the British Empire,en,officer of the most excellent order of the british empire
Q10762848,Officer of the Order of the British Empire,en,officer of the order of the british empire
Q15631401,FRS,en,frs
Q15631401,ForMemRS,en,formemrs
Q15631401,Fellow of the Royal Society of London,en,fellow of the royal society of london
Q15631401,"Fellow of the Royal Society, London",en,"fellow of the royal society, london"
Q15631401,Fellowship of the Royal Society,en,fellowship of the royal society
Q15631401,皇家学会院士,zh,皇家学会院士
Q15631401,皇家學會院士,zh,皇家學會院士
Q15631401,Fellow of the Royal Society,en,fellow of the royal society
Q20895942,Warrington Lodge Medical and Surgery Home for Ladies,en,warrington lodge medical and surgery home for ladies
